winloss,date,score,opponent,location,year,record,coach,conference
W,"Fri, November 22",14 - 13,UTEP,"El Paso, TX",1946,5-4-1 (0.500),Edwin R. ,Skyline
W,"Sat, September 20",45 - 0,Western St Colorado,"Provo, UT",1947,3-7 (0.300),Edwin R. ,Skyline
W,"Fri, September 26",19 - 14,Montana St,"Provo, UT",1947,3-7 (0.300),Edwin R. ,Skyline
L,"Sat, October 4",7 - 12,Wyoming,"Laramie, WY",1947,3-7 (0.300),Edwin R. ,Skyline
L,"Sat, October 11",6 - 28,Utah,"Salt Lake City, UT",1947,3-7 (0.300),Edwin R. ,Skyline
L,"Sat, October 18",7 - 9,Colorado,"Boulder, CO",1947,3-7 (0.300),Edwin R. ,Skyline
W,"Sat, October 25",27 - 12,Utah St,"Provo, UT",1947,3-7 (0.300),Edwin R. ,Skyline
L,"Sat, November 1",6 - 20,Denver,"Denver, CO",1947,3-7 (0.300),Edwin R. ,Skyline
L,"Sat, November 8",19 - 28,San Jose St,"Provo, UT",1947,3-7 (0.300),Edwin R. ,Skyline
L,"Sat, November 15",25 - 27,Colorado St,"Provo, UT",1947,3-7 (0.300),Edwin R. ,Skyline
L,"Sat, November 22",7 - 32,San Diego St,"Balboa Stadium - San Diego, CA",1947,3-7 (0.300),Edwin R. ,Skyline
W,"Sat, September 18",14 - 6,San Diego St,"Cougar Stadium - Provo, UT",1948,5-6 (0.455),Edwin R. ,Skyline
W,"Fri, September 24",13 - 0,Pepperdine (CA),"Provo, UT",1948,5-6 (0.455),Edwin R. ,Skyline
L,"Fri, October 1",7 - 9,Pacific Fleet (CA),"Provo, UT",1948,5-6 (0.455),Edwin R. ,Skyline
L,"Sat, October 9",0 - 30,Utah,"Provo, UT",1948,5-6 (0.455),Edwin R. ,Skyline
L,"Fri, October 15",20 - 34,UTEP,"El Paso, TX",1948,5-6 (0.455),Edwin R. ,Skyline
L,"Sat, October 23",7 - 20,Utah St,"Logan, UT",1948,5-6 (0.455),Edwin R. ,Skyline
W,"Sat, October 30",26 - 20,Montana,"Provo, UT",1948,5-6 (0.455),Edwin R. ,Skyline
L,"Fri, November 5",6 - 21,San Jose St,"San Jose, CA",1948,5-6 (0.455),Edwin R. ,Skyline
L,"Mon, November 15",0 - 20,Colorado St,"Fort Collins, CO",1948,5-6 (0.455),Edwin R. ,Skyline
W,"Sat, November 20",15 - 14,Wyoming,"Provo, UT",1948,5-6 (0.455),Edwin R. ,Skyline
W,"Fri, November 26",27 - 25,Arizona St,"Tempe, AZ",1948,5-6 (0.455),Edwin R. ,Skyline
L,"Sat, September 17",6 - 47,UTEP,"Provo, UT",1949,0-11 (0.000),Charles L. ,Skyline
L,"Fri, September 23",13 - 27,Pacific Fleet (CA),"Provo, UT",1949,0-11 (0.000),Charles L. ,Skyline
L,"Sat, October 1",21 - 40,San Jose St,"Provo, UT",1949,0-11 (0.000),Charles L. ,Skyline
L,"Sat, October 8",0 - 38,Utah,"Salt Lake City, UT",1949,0-11 (0.000),Charles L. ,Skyline
L,"Sat, October 15",21 - 49,Arizona St,"Tempe, AZ",1949,0-11 (0.000),Charles L. ,Skyline
L,"Sat, October 22",7 - 35,Denver,"Denver, CO",1949,0-11 (0.000),Charles L. ,Skyline
L,"Sat, October 29",0 - 45,Wyoming,"Laramie, WY",1949,0-11 (0.000),Charles L. ,Skyline
L,"Sat, November 5",3 - 22,Utah St,"Provo, UT",1949,0-11 (0.000),Charles L. ,Skyline
L,"Fri, November 11",14 - 16,Colorado St,"Provo, UT",1949,0-11 (0.000),Charles L. ,Skyline
L,"Sat, November 19",6 - 25,Montana,"Missoula, MT",1949,0-11 (0.000),Charles L. ,Skyline
L,"Sat, November 26",14 - 28,Pepperdine (CA),"Los Angeles, CA",1949,0-11 (0.000),Charles L. ,Skyline
W,"Sat, September 16",14 - 13,Idaho St,"Pocatello, ID",1950,4-5-1 (0.400),Charles L. ,Skyline
L,"Sat, September 23",13 - 41,Arizona St,"Provo, UT",1950,4-5-1 (0.400),Charles L. ,Skyline
W,"Fri, September 29",28 - 27,Pepperdine (CA),"Provo, UT",1950,4-5-1 (0.400),Charles L. ,Skyline
T,"Sat, October 7",28 - 28,Utah,"Provo, UT",1950,4-5-1 (0.400),Charles L. ,Skyline
L,"Sat, October 14",14 - 27,Colorado St,"Fort Collins, CO",1950,4-5-1 (0.400),Charles L. ,Skyline
L,"Sat, October 21",3 - 42,Denver,"Denver, CO",1950,4-5-1 (0.400),Charles L. ,Skyline
W,"Sat, November 4",34 - 13,Utah St,"Logan, UT",1950,4-5-1 (0.400),Charles L. ,Skyline
L,"Sat, November 11",0 - 48,Wyoming,"Provo, UT",1950,4-5-1 (0.400),Charles L. ,Skyline
L,"Fri, November 17",7 - 39,Hawai'i,"Honolulu, HI",1950,4-5-1 (0.400),Charles L. ,Skyline
W,"Sat, November 25",28 - 14,Fort Hood (TX),"Provo, UT",1950,4-5-1 (0.400),Charles L. ,Skyline
W,"Fri, September 14",27 - 7,Idaho St,"Provo, UT",1951,6-3-1 (0.600),Charles L. ,Skyline
W,"Sat, September 22",67 - 7,Western St Colorado,"Provo, UT",1951,6-3-1 (0.600),Charles L. ,Skyline
W,"Sat, September 29",20 - 7,Hawai'i,"Provo, UT",1951,6-3-1 (0.600),Charles L. ,Skyline
L,"Sat, October 6",6 - 7,Utah,"Salt Lake City, UT",1951,6-3-1 (0.600),Charles L. ,Skyline
T,"Sat, October 20",20 - 20,Wyoming,"Laramie, WY",1951,6-3-1 (0.600),Charles L. ,Skyline
L,"Sat, October 27",6 - 56,Denver,"Denver, CO",1951,6-3-1 (0.600),Charles L. ,Skyline
W,"Sat, November 3",21 - 19,Colorado St,"Provo, UT",1951,6-3-1 (0.600),Charles L. ,Skyline
W,"Sat, November 10",28 - 27,Utah St,"Provo, UT",1951,6-3-1 (0.600),Charles L. ,Skyline
L,"Sat, November 17",0 - 34,New Mexico,"Albuquerque, NM",1951,6-3-1 (0.600),Charles L. ,Skyline
W,"Sat, November 24",20 - 0,Pepperdine (CA),"Los Angeles, CA",1951,6-3-1 (0.600),Charles L. ,Skyline
W,"Fri, September 19",14 - 7,San Diego NTS (CA),"Provo, UT",1952,4-6 (0.400),Charles L. ,Skyline
W,"Sat, September 27",14 - 10,New Mexico,"Provo, UT",1952,4-6 (0.400),Charles L. ,Skyline
W,"Sat, October 4",28 - 7,Montana,"Missoula, MT",1952,4-6 (0.400),Charles L. ,Skyline
L,"Sat, October 11",6 - 34,Utah,"Salt Lake City, UT",1952,4-6 (0.400),Charles L. ,Skyline
W,"Sat, October 25",14 - 13,Denver,"Provo, UT",1952,4-6 (0.400),Charles L. ,Skyline
L,"Sat, November 1",13 - 24,Wyoming,"Provo, UT",1952,4-6 (0.400),Charles L. ,Skyline
L,"Fri, November 7",27 - 44,San Jose St,"San Jose, CA",1952,4-6 (0.400),Charles L. ,Skyline
L,"Sat, November 15",26 - 27,Utah St,"Logan, UT",1952,4-6 (0.400),Charles L. ,Skyline
L,"Sat, November 22",6 - 27,Colorado St,"Fort Collins, CO",1952,4-6 (0.400),Charles L. ,Skyline
L,"Sat, November 29",6 - 47,Arizona St,"Tempe, AZ",1952,4-6 (0.400),Charles L. ,Skyline
W,"Sat, September 19",27 - 13,Montana,"Provo, UT",1953,2-7-1 (0.200),Charles L. ,Skyline
L,"Fri, September 25",25 - 28,San Jose St,"Provo, UT",1953,2-7-1 (0.200),Charles L. ,Skyline
T,"Sat, October 3",12 - 12,New Mexico,"Albuquerque, NM",1953,2-7-1 (0.200),Charles L. ,Skyline
W,"Sat, October 10",20 - 14,Idaho,"Boise, ID",1953,2-7-1 (0.200),Charles L. ,Skyline
L,"Fri, October 16",7 - 14,Utah St,"Provo, UT",1953,2-7-1 (0.200),Charles L. ,Skyline
L,"Sat, October 24",19 - 27,Denver,"Denver, CO",1953,2-7-1 (0.200),Charles L. ,Skyline
L,"Sat, October 31",0 - 27,Wyoming,"Laramie, WY",1953,2-7-1 (0.200),Charles L. ,Skyline
L,"Sat, November 7",12 - 34,Colorado St,"Provo, UT",1953,2-7-1 (0.200),Charles L. ,Skyline
L,"Sat, November 14",18 - 26,Arizona St,"Tempe, AZ",1953,2-7-1 (0.200),Charles L. ,Skyline
L,"Thu, November 26",32 - 33,Utah,"Salt Lake City, UT",1953,2-7-1 (0.200),Charles L. ,Skyline
L,"Sat, September 18",12 - 21,New Mexico,"Provo, UT",1954,1-8 (0.111),Charles L. ,Skyline
L,"Fri, September 24",19 - 28,Arizona St,"Provo, UT",1954,1-8 (0.111),Charles L. ,Skyline
L,"Sat, October 2",13 - 14,Colorado St,"Fort Collins, CO",1954,1-8 (0.111),Charles L. ,Skyline
L,"Sat, October 9",7 - 12,Utah,"Provo, UT",1954,1-8 (0.111),Charles L. ,Skyline
W,"Sat, October 23",19 - 7,Montana,"Provo, UT",1954,1-8 (0.111),Charles L. ,Skyline
L,"Sat, October 30",13 - 45,Utah St,"Logan, UT",1954,1-8 (0.111),Charles L. ,Skyline
L,"Sat, November 6",0 - 20,Denver,"Denver, CO",1954,1-8 (0.111),Charles L. ,Skyline
L,"Sat, November 13",13 - 34,Wyoming,"Provo, UT",1954,1-8 (0.111),Charles L. ,Skyline
L,"Sat, November 20",0 - 7,Idaho,"Boise, ID",1954,1-8 (0.111),Charles L. ,Skyline
L,"Sat, September 17",0 - 33,Oregon St,"Corvallis, OR",1955,1-9 (0.100),Charles L. ,Skyline
W,"Sat, September 24",33 - 0,Cal St.-Los Angeles,"Provo, UT",1955,1-9 (0.100),Charles L. ,Skyline
L,"Sat, October 1",13 - 27,Montana,"Missoula, MT",1955,1-9 (0.100),Charles L. ,Skyline
L,"Sat, October 8",9 - 41,Utah,"Salt Lake City, UT",1955,1-9 (0.100),Charles L. ,Skyline
L,"Fri, October 21",0 - 33,Denver,"Denver, CO",1955,1-9 (0.100),Charles L. ,Skyline
L,"Sat, October 29",6 - 14,Wyoming,"Laramie, WY",1955,1-9 (0.100),Charles L. ,Skyline
L,"Sat, November 5",21 - 47,Utah St,"Provo, UT",1955,1-9 (0.100),Charles L. ,Skyline
L,"Fri, November 11",6 - 49,Idaho,"Provo, UT",1955,1-9 (0.100),Charles L. ,Skyline
L,"Sat, November 19",0 - 35,Colorado St,"Provo, UT",1955,1-9 (0.100),Charles L. ,Skyline
L,"Sat, November 26",16 - 21,New Mexico,"Albuquerque, NM",1955,1-9 (0.100),Charles L. ,Skyline
L,"Sat, September 15",0 - 13,Wichita St. (KS),"Wichita, KS",1956,2-7-1 (0.200),Harold W. ,Skyline
L,"Sat, September 22",13 - 26,Fresno St,"Provo, UT",1956,2-7-1 (0.200),Harold W. ,Skyline
T,"Sat, September 29",0 - 0,Colorado St,"Fort Collins, CO",1956,2-7-1 (0.200),Harold W. ,Skyline
L,"Fri, October 5",6 - 41,Utah,"Provo, UT",1956,2-7-1 (0.200),Harold W. ,Skyline
L,"Sat, October 20",14 - 21,Montana,"Missoula, MT",1956,2-7-1 (0.200),Harold W. ,Skyline
L,"Sat, October 27",7 - 33,Utah St,"Logan, UT",1956,2-7-1 (0.200),Harold W. ,Skyline
W,"Sat, November 3",33 - 12,New Mexico,"Provo, UT",1956,2-7-1 (0.200),Harold W. ,Skyline
L,"Sat, November 10",34 - 58,Denver,"Denver, CO",1956,2-7-1 (0.200),Harold W. ,Skyline
L,"Sat, November 17",6 - 7,Wyoming,"Provo, UT",1956,2-7-1 (0.200),Harold W. ,Skyline
W,"Sat, November 24",34 - 21,Air Force,"Denver, CO",1956,2-7-1 (0.200),Harold W. ,Skyline
T,"Sat, September 21",14 - 14,Arizona,"Tucson, AZ",1957,5-3-2 (0.500),Harold W. ,Skyline
L,"Sat, September 28",7 - 36,Kansas St,"Manhattan, KS",1957,5-3-2 (0.500),Harold W. ,Skyline
W,"Fri, October 4",20 - 7,Montana,"Provo, UT",1957,5-3-2 (0.500),Harold W. ,Skyline
L,"Sat, October 12",0 - 27,Utah,"Salt Lake City, UT",1957,5-3-2 (0.500),Harold W. ,Skyline
T,"Sat, October 19",0 - 0,Wyoming,"Laramie, WY",1957,5-3-2 (0.500),Harold W. ,Skyline
W,"Sat, October 26",25 - 6,Denver,"Provo, UT",1957,5-3-2 (0.500),Harold W. ,Skyline
W,"Sat, November 2",14 - 0,Utah St,"Provo, UT",1957,5-3-2 (0.500),Harold W. ,Skyline
L,"Sat, November 9",14 - 27,Fresno St,"Fresno, CA",1957,5-3-2 (0.500),Harold W. ,Skyline
W,"Sat, November 23",26 - 9,Colorado St,"Provo, UT",1957,5-3-2 (0.500),Harold W. ,Skyline
W,"Sat, November 30",14 - 12,New Mexico,"Albuquerque, NM",1957,5-3-2 (0.500),Harold W. ,Skyline
W,"Sat, September 20",29 - 7,Fresno St,"Provo, UT",1958,6-4 (0.600),Harold W. ,Skyline
W,"Sat, September 27",14 - 7,Utah,"Salt Lake City, UT",1958,6-4 (0.600),Harold W. ,Skyline
L,"Sat, October 4",6 - 32,Colorado St,"Fort Collins, CO",1958,6-4 (0.600),Harold W. ,Skyline
L,"Sat, October 11",8 - 26,Pacific,"Stockton, CA",1958,6-4 (0.600),Harold W. ,Skyline
L,"Sat, October 18",6 - 12,North Texas,"Provo, UT",1958,6-4 (0.600),Harold W. ,Skyline
W,"Sat, October 25",41 - 12,Montana,"Missoula, MT",1958,6-4 (0.600),Harold W. ,Skyline
W,"Sat, November 1",13 - 6,Utah St,"Logan, UT",1958,6-4 (0.600),Harold W. ,Skyline
W,"Sat, November 8",36 - 19,New Mexico,"Provo, UT",1958,6-4 (0.600),Harold W. ,Skyline
W,"Sat, November 15",22 - 7,Denver,"Denver, CO",1958,6-4 (0.600),Harold W. ,Skyline
L,"Sat, November 22",14 - 22,Wyoming,"Provo, UT",1958,6-4 (0.600),Harold W. ,Skyline
W,"Sat, September 19",18 - 14,Arizona,"Tucson, AZ",1959,3-7 (0.300),Floyd ,Skyline
L,"Sat, September 26",16 - 27,Fresno St,"Fresno, CA",1959,3-7 (0.300),Floyd ,Skyline
L,"Sat, October 3",0 - 12,Montana,"Provo, UT",1959,3-7 (0.300),Floyd ,Skyline
L,"Fri, October 9",8 - 20,Utah,"Salt Lake City, UT",1959,3-7 (0.300),Floyd ,Skyline
L,"Sat, October 17",6 - 21,Wyoming,"Laramie, WY",1959,3-7 (0.300),Floyd ,Skyline
L,"Sat, October 24",7 - 14,Denver,"Provo, UT",1959,3-7 (0.300),Floyd ,Skyline
W,"Sat, October 31",18 - 0,Utah St,"Provo, UT",1959,3-7 (0.300),Floyd ,Skyline
L,"Sat, November 7",6 - 21,New Mexico,"Albuquerque, NM",1959,3-7 (0.300),Floyd ,Skyline
L,"Sat, November 14",8 - 27,Arizona St,"Tempe, AZ",1959,3-7 (0.300),Floyd ,Skyline
W,"Sat, November 21",14 - 13,Colorado St,"Provo, UT",1959,3-7 (0.300),Floyd ,Skyline
W,"Fri, September 16",34 - 14,Cal Poly,"Provo, UT",1960,3-8 (0.273),Floyd ,Skyline
L,"Fri, September 23",8 - 21,San Jose St,"San Jose, CA",1960,3-8 (0.273),Floyd ,Skyline
L,"Sat, October 1",7 - 8,Colorado St,"Fort Collins, CO",1960,3-8 (0.273),Floyd ,Skyline
L,"Fri, October 7",0 - 17,Utah,"Salt Lake City, UT",1960,3-8 (0.273),Floyd ,Skyline
L,"Sat, October 15",0 - 31,Arizona St,"Provo, UT",1960,3-8 (0.273),Floyd ,Skyline
W,"Sat, October 22",7 - 6,Montana,"Missoula, MT",1960,3-8 (0.273),Floyd ,Skyline
L,"Sat, October 29",0 - 34,Utah St,"Logan, UT",1960,3-8 (0.273),Floyd ,Skyline
L,"Sat, November 5",15 - 27,New Mexico,"Provo, UT",1960,3-8 (0.273),Floyd ,Skyline
W,"Sat, November 12",19 - 6,Denver,"Denver, CO",1960,3-8 (0.273),Floyd ,Skyline
L,"Sat, November 19",6 - 30,Wyoming,"Provo, UT",1960,3-8 (0.273),Floyd ,Skyline
L,"Fri, November 25",6 - 13,Hawai'i,"Honolulu, HI",1960,3-8 (0.273),Floyd ,Skyline
L,"Sat, September 16",13 - 14,San Jose St,"Provo, UT",1961,2-8 (0.200),Hal Mitchell,Skyline
L,"Sat, September 23",8 - 55,West Texas A&M,"Canyon, TX",1961,2-8 (0.200),Hal Mitchell,Skyline
L,"Sat, September 30",30 - 41,North Texas,"Denton, TX",1961,2-8 (0.200),Hal Mitchell,Skyline
W,"Sat, October 7",7 - 6,Montana,"Provo, UT",1961,2-8 (0.200),Hal Mitchell,Skyline
L,"Sat, October 14",20 - 21,Utah,"Salt Lake City, UT",1961,2-8 (0.200),Hal Mitchell,Skyline
L,"Sat, October 21",8 - 36,Wyoming,"Laramie, WY",1961,2-8 (0.200),Hal Mitchell,Skyline
L,"Sat, November 4",8 - 31,Utah St,"Provo, UT",1961,2-8 (0.200),Hal Mitchell,Skyline
W,"Sat, November 11",30 - 16,Colorado St,"Provo, UT",1961,2-8 (0.200),Hal Mitchell,Skyline
L,"Sat, November 18",0 - 35,Oregon St,"Corvallis, OR",1961,2-8 (0.200),Hal Mitchell,Skyline
L,"Sat, November 25",6 - 34,New Mexico,"Albuquerque, NM",1961,2-8 (0.200),Hal Mitchell,Skyline
L,"Sat, September 15",7 - 26,Pacific,"Stockton, CA",1962,4-6 (0.400),Hal Mitchell,WAC
L,"Sat, September 22",21 - 27,Arizona,"Tucson, AZ",1962,4-6 (0.400),Hal Mitchell,WAC
L,"Sat, September 29",12 - 13,George Washington,"Provo, UT",1962,4-6 (0.400),Hal Mitchell,WAC
W,"Sat, October 6",28 - 7,Colorado St,"Fort Collins, CO",1962,4-6 (0.400),Hal Mitchell,WAC
L,"Sat, October 13",20 - 35,Utah,"Salt Lake City, UT",1962,4-6 (0.400),Hal Mitchell,WAC
W,"Sat, October 20",27 - 0,Montana,"Missoula, MT",1962,4-6 (0.400),Hal Mitchell,WAC
L,"Sat, October 27",21 - 27,Utah St,"Logan, UT",1962,4-6 (0.400),Hal Mitchell,WAC
W,"Sat, November 3",27 - 0,New Mexico,"Provo, UT",1962,4-6 (0.400),Hal Mitchell,WAC
L,"Sat, November 10",20 - 28,Western Michigan,"Kalamazoo, MI",1962,4-6 (0.400),Hal Mitchell,WAC
W,"Sat, November 17",14 - 7,Wyoming,"Provo, UT",1962,4-6 (0.400),Hal Mitchell,WAC
L,"Sat, September 21",7 - 24,Kansas St,"Manhattan, KS",1963,2-8 (0.200),Hal Mitchell,WAC
L,"Sat, September 28",7 - 33,Arizona,"Tucson, AZ",1963,2-8 (0.200),Hal Mitchell,WAC
W,"Sat, October 5",27 - 0,Montana,"Provo, UT",1963,2-8 (0.200),Hal Mitchell,WAC
L,"Sat, October 12",6 - 15,Utah,"Salt Lake City, UT",1963,2-8 (0.200),Hal Mitchell,WAC
L,"Sat, October 19",14 - 41,Wyoming,"Laramie, WY",1963,2-8 (0.200),Hal Mitchell,WAC
L,"Sat, November 2",0 - 26,Utah St,"Provo, UT",1963,2-8 (0.200),Hal Mitchell,WAC
L,"Sat, November 9",6 - 23,George Washington,"Washington, DC",1963,2-8 (0.200),Hal Mitchell,WAC
L,"Sat, November 16",0 - 14,Pacific,"Stockton, CA",1963,2-8 (0.200),Hal Mitchell,WAC
W,"Sat, November 23",24 - 20,Colorado St,"Provo, UT",1963,2-8 (0.200),Hal Mitchell,WAC
L,"Sat, November 30",0 - 26,New Mexico,"Albuquerque, NM",1963,2-8 (0.200),Hal Mitchell,WAC
L,"Sat, September 19",13 - 20,Oregon,"Eugene, OR",1964,3-6-1 (0.300),Tommy Hudspeth,WAC
L,"Sat, September 26",6 - 39,Arizona,"Tucson, AZ",1964,3-6-1 (0.300),Tommy Hudspeth,WAC
L,"Fri, October 2",14 - 26,New Mexico,"Provo, UT",1964,3-6-1 (0.300),Tommy Hudspeth,WAC
L,"Sat, October 10",6 - 7,Colorado St,"Fort Collins, CO",1964,3-6-1 (0.300),Tommy Hudspeth,WAC
W,"Sat, October 17",21 - 0,Pacific,"Provo, UT",1964,3-6-1 (0.300),Tommy Hudspeth,WAC
T,"Sat, October 24",18 - 18,UTEP,"El Paso, TX",1964,3-6-1 (0.300),Tommy Hudspeth,WAC
W,"Sat, October 31",28 - 14,Utah St,"Provo, UT",1964,3-6-1 (0.300),Tommy Hudspeth,WAC
L,"Sat, November 7",13 - 47,Utah,"Salt Lake City, UT",1964,3-6-1 (0.300),Tommy Hudspeth,WAC
W,"Sat, November 14",43 - 8,Western Michigan,"Provo, UT",1964,3-6-1 (0.300),Tommy Hudspeth,WAC
L,"Sat, November 21",11 - 31,Wyoming,"Provo, UT",1964,3-6-1 (0.300),Tommy Hudspeth,WAC
W,"Sat, September 18",24 - 6,Arizona St,"Tempe, AZ",1965,6-4 (0.600),Tommy Hudspeth,WAC
W,"Fri, September 24",21 - 3,Kansas St,"Provo, UT",1965,6-4 (0.600),Tommy Hudspeth,WAC
L,"Sat, October 2",14 - 27,Oregon,"Eugene, OR",1965,6-4 (0.600),Tommy Hudspeth,WAC
W,"Fri, October 8",34 - 7,San Jose St,"Provo, UT",1965,6-4 (0.600),Tommy Hudspeth,WAC
L,"Sat, October 23",6 - 34,Wyoming,"Laramie, WY",1965,6-4 (0.600),Tommy Hudspeth,WAC
L,"Sat, October 30",21 - 34,Utah St,"Logan, UT",1965,6-4 (0.600),Tommy Hudspeth,WAC
W,"Sat, November 6",25 - 20,Utah,"Provo, UT",1965,6-4 (0.600),Tommy Hudspeth,WAC
L,"Sat, November 13",22 - 36,Colorado St,"Provo, UT",1965,6-4 (0.600),Tommy Hudspeth,WAC
W,"Sat, November 20",20 - 3,Arizona,"Tucson, AZ",1965,6-4 (0.600),Tommy Hudspeth,WAC
W,"Sat, November 27",42 - 8,New Mexico,"Albuquerque, NM",1965,6-4 (0.600),Tommy Hudspeth,WAC
W,"Sat, September 24",19 - 9,San Jose St,"San Jose, CA",1966,8-2 (0.800),Tommy Hudspeth,WAC
W,"Fri, September 30",27 - 24,Colorado St,"Provo, UT",1966,8-2 (0.800),Tommy Hudspeth,WAC
W,"Sat, October 8",27 - 7,Utah St,"Provo, UT",1966,8-2 (0.800),Tommy Hudspeth,WAC
L,"Fri, October 14",7 - 10,Arizona St,"Provo, UT",1966,8-2 (0.800),Tommy Hudspeth,WAC
W,"Sat, October 22",33 - 6,New Mexico,"Albuquerque, NM",1966,8-2 (0.800),Tommy Hudspeth,WAC
W,"Sat, October 29",16 - 14,Arizona,"Tucson, AZ",1966,8-2 (0.800),Tommy Hudspeth,WAC
W,"Sat, November 5",53 - 33,UTEP,"Provo, UT",1966,8-2 (0.800),Tommy Hudspeth,WAC
W,"Sat, November 12",35 - 13,Utah,"Salt Lake City, UT",1966,8-2 (0.800),Tommy Hudspeth,WAC
L,"Sat, November 19",14 - 47,Wyoming,"Provo, UT",1966,8-2 (0.800),Tommy Hudspeth,WAC
W,"Sat, November 26",38 - 0,Pacific,"Provo, UT",1966,8-2 (0.800),Tommy Hudspeth,WAC
W,"Sat, September 23",44 - 14,New Mexico,"Provo, UT",1967,6-4 (0.600),Tommy Hudspeth,WAC
W,"Fri, September 29",44 - 19,Western Michigan,"Provo, UT",1967,6-4 (0.600),Tommy Hudspeth,WAC
L,"Sat, October 7",10 - 26,Wyoming,"Laramie, WY",1967,6-4 (0.600),Tommy Hudspeth,WAC
W,"Sat, October 14",31 - 13,Oregon St,"Corvallis, OR",1967,6-4 (0.600),Tommy Hudspeth,WAC
L,"Sat, October 21",17 - 47,UTEP,"El Paso, TX",1967,6-4 (0.600),Tommy Hudspeth,WAC
W,"Sat, October 28",17 - 13,Utah,"Provo, UT",1967,6-4 (0.600),Tommy Hudspeth,WAC
L,"Sat, November 4",9 - 30,Utah St,"Logan, UT",1967,6-4 (0.600),Tommy Hudspeth,WAC
W,"Sat, November 11",17 - 14,Arizona,"Provo, UT",1967,6-4 (0.600),Tommy Hudspeth,WAC
L,"Sat, November 18",22 - 31,Arizona St,"Tempe, AZ",1967,6-4 (0.600),Tommy Hudspeth,WAC
W,"Sat, November 25",67 - 8,San Jose St,"Provo, UT",1967,6-4 (0.600),Tommy Hudspeth,WAC
W,"Sat, September 21",17 - 7,Western Michigan,"Kalamazoo, MI",1968,2-8 (0.200),Tommy Hudspeth,WAC
L,"Sat, September 28",20 - 28,Iowa St,"Provo, UT",1968,2-8 (0.200),Tommy Hudspeth,WAC
L,"Sat, October 12",17 - 20,Wyoming,"Provo, UT",1968,2-8 (0.200),Tommy Hudspeth,WAC
L,"Sat, October 19",3 - 19,Arizona,"Tucson, AZ",1968,2-8 (0.200),Tommy Hudspeth,WAC
L,"Sat, October 26",25 - 31,UTEP,"Provo, UT",1968,2-8 (0.200),Tommy Hudspeth,WAC
L,"Sat, November 2",21 - 30,Utah,"Salt Lake City, UT",1968,2-8 (0.200),Tommy Hudspeth,WAC
L,"Sat, November 9",8 - 34,Utah St,"Provo, UT",1968,2-8 (0.200),Tommy Hudspeth,WAC
L,"Sat, November 16",12 - 47,Arizona St,"Provo, UT",1968,2-8 (0.200),Tommy Hudspeth,WAC
W,"Sat, November 23",35 - 6,New Mexico,"Albuquerque, NM",1968,2-8 (0.200),Tommy Hudspeth,WAC
L,"Sat, November 30",21 - 25,San Jose St,"San Jose, CA",1968,2-8 (0.200),Tommy Hudspeth,WAC
W,"Sat, September 20",22 - 20,Colorado St,"Fort Collins, CO",1969,6-4 (0.600),Tommy Hudspeth,WAC
L,"Sat, September 27",0 - 10,Iowa St,"Ames, IA",1969,6-4 (0.600),Tommy Hudspeth,WAC
L,"Sat, October 4",7 - 23,Arizona St,"Tempe, AZ",1969,6-4 (0.600),Tommy Hudspeth,WAC
W,"Sat, October 11",41 - 15,New Mexico,"Provo, UT",1969,6-4 (0.600),Tommy Hudspeth,WAC
L,"Sat, October 18",7 - 40,Wyoming,"Laramie, WY",1969,6-4 (0.600),Tommy Hudspeth,WAC
W,"Sat, October 25",30 - 7,UTEP,"El Paso, TX",1969,6-4 (0.600),Tommy Hudspeth,WAC
W,"Sat, November 1",31 - 21,Arizona,"Provo, UT",1969,6-4 (0.600),Tommy Hudspeth,WAC
W,"Sat, November 8",21 - 3,San Jose St,"Provo, UT",1969,6-4 (0.600),Tommy Hudspeth,WAC
W,"Sat, November 15",21 - 3,Utah St,"Logan, UT",1969,6-4 (0.600),Tommy Hudspeth,WAC
L,"Sat, November 22",6 - 16,Utah,"Provo, UT",1969,6-4 (0.600),Tommy Hudspeth,WAC
W,"Sat, September 12",10 - 7,North Texas,"Provo, UT",1970,3-8 (0.273),Tommy Hudspeth,WAC
L,"Sat, September 19",17 - 35,Western Michigan,"Kalamazoo, MI",1970,3-8 (0.273),Tommy Hudspeth,WAC
L,"Sat, September 26",0 - 17,UTEP,"Provo, UT",1970,3-8 (0.273),Tommy Hudspeth,WAC
L,"Sat, October 3",11 - 31,San Diego St,"Jack Murphy Stadium - San Diego, CA",1970,3-8 (0.273),Tommy Hudspeth,WAC
L,"Sat, October 10",17 - 24,Arizona,"Tucson, AZ",1970,3-8 (0.273),Tommy Hudspeth,WAC
L,"Sat, October 17",3 - 27,Arizona St,"Provo, UT",1970,3-8 (0.273),Tommy Hudspeth,WAC
W,"Sat, October 24",27 - 20,Utah St,"Provo, UT",1970,3-8 (0.273),Tommy Hudspeth,WAC
W,"Sat, October 31",23 - 3,Wyoming,"Provo, UT",1970,3-8 (0.273),Tommy Hudspeth,WAC
L,"Sat, November 7",9 - 26,Colorado St,"Fort Collins, CO",1970,3-8 (0.273),Tommy Hudspeth,WAC
L,"Sat, November 14",8 - 51,New Mexico,"Albuquerque, NM",1970,3-8 (0.273),Tommy Hudspeth,WAC
L,"Sat, November 21",13 - 14,Utah,"Salt Lake City, UT",1970,3-8 (0.273),Tommy Hudspeth,WAC
